Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2023-05-01,528407,EB,Blue Line,Blue Line,BL EB,EB Bowdoin to Govt Ctr.,place-bomnl | place-gover,Between Stations,BLEB-02,Active Restriction,2023-03-28,,10 mph,Track,99,0.01875,0.001502404,12.48,1.37E-04,136.42,Multi-Segment,Start,34,,1,1,0,0,0,1
2023-05-01,528407,EB,Blue Line,Blue Line,BL EB,EB Govt Center Station,place-gover,Station,BLEB-03,Active Restriction,2023-03-28,,10 mph,Track,301,0.057007576,0.004567915,12.48,4.18E-04,136.42,Multi-Segment,End,34,,0,0,0,0,0,0
2023-05-01,528413,EB,Blue Line,Blue Line,BL EB,EB Aquarium to Maverick,place-aqucl | place-mvbcl,Between Stations,BLEB-08,Active Restriction,2023-03-28,,10 mph,Track,99,0.01875,0.001502404,12.48,1.37E-04,136.42,Multi-Segment,Start,34,,1,1,0,0,0,1
2023-05-01,528413,EB,Blue Line,Blue Line,BL EB,EB Maverick Station,place-mvbcl,Station,BLEB-09,Active Restriction,2023-03-28,,10 mph,Track,401,0.07594697,0.006085494,12.48,5.57E-04,136.42,Multi-Segment,Midpoint,34,,0,0,0,0,0,0
2023-05-01,528413,EB,Blue Line,Blue Line,BL EB,EB Maverick to Airport,place-mvbcl | place-aport,Between Stations,BLEB-10,Active Restriction,2023-03-28,,10 mph,Track,100,0.018939394,0.00151758,12.48,1.39E-04,136.42,Multi-Segment,End,34,,0,0,0,0,0,0
2023-05-01,528416,EB,Blue Line,Blue Line,BL EB,EB Maverick to Airport,place-mvbcl | place-aport,Between Stations,BLEB-10,Active Restriction,2023-03-28,,10 mph,Track,600,0.113636364,0.009105478,12.48,8.33E-04,136.42,Single Segment,Start|End,34,,1,1,0,0,0,1
2023-05-01,528414,EB,Blue Line,Blue Line,BL EB,EB Airport to Wood I,place-aport | place-wimnl,Between Stations,BLEB-12,Active Restriction,2023-03-28,,10 mph,Track,400,0.075757576,0.006070319,12.48,5.55E-04,136.42,Single Segment,Start|End,34,,1,1,0,0,0,1
2023-05-01,517290,EB,Blue Line,Blue Line,BL EB,EB Wood I to Orient Heights,place-wimnl | place-orhte,Between Stations,BLEB-14,Active Restriction,2023-02-14,,10 mph,Track,600,0.113636364,0.009105478,12.48,8.33E-04,136.42,Single Segment,Start|End,76,,1,1,0,0,0,1
2023-05-01,531815,EB,Blue Line,Blue Line,BL EB,EB Wood I to Orient Heights,place-wimnl | place-orhte,Between Stations,BLEB-14,Active Restriction,2023-04-05,,25 mph,Track,2200,0.416666667,0.033386752,12.48,0.003054293,136.42,Single Segment,Start|End,26,,1,1,0,0,0,1
2023-05-01,523758,EB,Blue Line,Blue Line,BL EB,EB Orient Heights to Suffolk Downs,place-orhte | place-sdmnl,Between Stations,BLEB-16,Active Restriction,2023-03-09,,10 mph,Track,1200,0.227272727,0.018210956,12.48,0.001665978,136.42,Single Segment,Start|End,53,,1,1,0,0,0,1
