Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2023-07-20,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,132,,1,0,0,0,0,1
2023-07-19,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,131,,1,0,0,0,0,1
2023-07-18,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,130,,1,0,0,0,0,1
2023-07-17,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,129,,1,0,0,0,0,1
2023-07-16,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,128,,1,0,0,0,0,1
2023-07-15,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,127,,1,0,0,0,0,1
2023-07-14,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,126,,1,0,0,0,0,1
2023-07-13,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,125,,1,0,0,0,0,1
2023-07-12,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,124,,1,0,0,0,0,1
2023-07-11,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,10 mph,Track,598.9999999999995,0.11344696969696962,0.0021012589312274423,53.99,8.31600716148436e-4,136.42,Multi-Segment,Start,123,,1,0,0,0,0,1
