Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2023-04-01,528407,EB,Blue Line,Blue Line,BL EB,EB Bowdoin to Govt Ctr.,place-bomnl | place-gover,Between Stations,BLEB-02,Active Restriction,2023-03-28,,10 mph,Track,298.9999999999995,0.05662878787878778,0.004537563131313123,12.48,4.1510620054821713e-4,136.42,Multi-Segment,Start,4,,1,1,0,0,0,1
2023-04-01,528407,EB,Blue Line,Blue Line,BL EB,EB Govt Center Station,place-gover,Station,BLEB-03,Active Restriction,2023-03-28,,10 mph,Track,401.0000000000005,0.07594696969696979,0.006085494366744374,12.48,5.56714335852293e-4,136.42,Multi-Segment,Midpoint,4,,0,0,0,0,0,0
2023-04-01,528407,EB,Blue Line,Blue Line,BL EB,EB Govt Ctr. to State St.,place-gover | place-state,Between Stations,BLEB-04,Active Restriction,2023-03-28,,10 mph,Track,598.9999999999995,0.11344696969696962,0.009090302059052053,12.48,8.31600716148436e-4,136.42,Multi-Segment,Midpoint,4,,0,0,0,0,0,0
2023-04-01,528407,EB,Blue Line,Blue Line,BL EB,EB State St. Station,place-state,Station,BLEB-05,Active Restriction,2023-03-28,,10 mph,Track,301.00000000000045,0.05700757575757585,0.004567914724164731,12.48,4.1788283065222e-4,136.42,Multi-Segment,End,4,,0,0,0,0,0,0
2023-04-01,528412,EB,Blue Line,Blue Line,BL EB,EB Aquarium Station,place-aqucl,Station,BLEB-07,Active Restriction,2023-03-28,,10 mph,Track,400,0.07575757575757576,0.00607031857031857,12.48,5.553260208002915e-4,136.42,Multi-Segment,Start,4,,1,1,0,0,0,1
2023-04-01,528412,EB,Blue Line,Blue Line,BL EB,EB Aquarium to Maverick,place-aqucl | place-mvbcl,Between Stations,BLEB-08,Active Restriction,2023-03-28,,10 mph,Track,399.99999999999994,0.07575757575757575,0.006070318570318569,12.48,5.553260208002914e-4,136.42,Multi-Segment,End,4,,0,0,0,0,0,0
2023-04-01,528413,EB,Blue Line,Blue Line,BL EB,EB Aquarium to Maverick,place-aqucl | place-mvbcl,Between Stations,BLEB-08,Active Restriction,2023-03-28,,10 mph,Track,99.00000000000091,0.018750000000000173,0.00150240384615386,12.48,1.374431901480734e-4,136.42,Multi-Segment,Start,4,,1,1,0,0,0,1
2023-04-01,528413,EB,Blue Line,Blue Line,BL EB,EB Maverick Station,place-mvbcl,Station,BLEB-09,Active Restriction,2023-03-28,,10 mph,Track,400.9999999999991,0.07594696969696953,0.006085494366744353,12.48,5.56714335852291e-4,136.42,Multi-Segment,Midpoint,4,,0,0,0,0,0,0
2023-04-01,528413,EB,Blue Line,Blue Line,BL EB,EB Maverick to Airport,place-mvbcl | place-aport,Between Stations,BLEB-10,Active Restriction,2023-03-28,,10 mph,Track,100,0.01893939393939394,0.0015175796425796425,12.48,1.3883150520007287e-4,136.42,Multi-Segment,End,4,,0,0,0,0,0,0
2023-04-01,528416,EB,Blue Line,Blue Line,BL EB,EB Maverick to Airport,place-mvbcl | place-aport,Between Stations,BLEB-10,Active Restriction,2023-03-28,,10 mph,Track,600,0.11363636363636363,0.009105477855477854,12.48,8.329890312004372e-4,136.42,Single Segment,Start|End,4,,1,1,0,0,0,1
