Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2023-10-29,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Restriction Cleared,2022-04-27,2023-10-29,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,550,550,0,0,0,0,0,0
2023-10-28,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,549,,0,0,0,0,0,0
2023-10-27,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,548,,0,0,0,0,0,0
2023-10-26,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,547,,0,0,0,0,0,0
2023-10-25,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,546,,0,0,0,0,0,0
2023-10-24,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,545,,0,0,0,0,0,0
2023-10-23,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,544,,0,0,0,0,0,0
2023-10-22,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,543,,0,0,0,0,0,0
2023-10-21,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,542,,0,0,0,0,0,0
2023-10-20,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,541,,0,0,0,0,0,0
2023-10-19,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,540,,0,0,0,0,0,0
2023-10-18,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,539,,0,0,0,0,0,0
2023-10-17,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,538,,0,0,0,0,0,0
2023-10-16,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,537,,0,0,0,0,0,0
2023-10-15,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,536,,0,0,0,0,0,0
2023-10-14,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,535,,0,0,0,0,0,0
2023-10-13,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,534,,0,0,0,0,0,0
2023-10-12,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,533,,0,0,0,0,0,0
2023-10-11,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,532,,0,0,0,0,0,0
2023-10-10,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,531,,0,0,0,0,0,0
2023-10-09,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,530,,0,0,0,0,0,0
2023-10-08,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,529,,0,0,0,0,0,0
2023-10-07,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,528,,0,0,0,0,0,0
2023-10-06,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,527,,0,0,0,0,0,0
2023-10-05,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,526,,0,0,0,0,0,0
2023-10-04,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,525,,0,0,0,0,0,0
2023-10-03,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,524,,0,0,0,0,0,0
2023-10-02,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,523,,0,0,0,0,0,0
2023-10-01,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Valley Road Station,place-valrd,Station,MLIB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,522,,0,0,0,0,0,0
2023-10-31,524530,EB,Green Line,Green Line - D,GL Kenmore-Riverside EB,EB Fenway Station,place-fenwy,Station,GDEB-25,Active Restriction,2023-03-11,,10 mph,Track,238.9999999999999,0.045265151515151494,8.383988056149563e-4,53.99,3.31807297428174e-4,136.42,Multi-Segment,Midpoint,234,,0,0,0,0,0,0
2023-10-30,524530,EB,Green Line,Green Line - D,GL Kenmore-Riverside EB,EB Fenway Station,place-fenwy,Station,GDEB-25,Active Restriction,2023-03-11,,10 mph,Track,238.9999999999999,0.045265151515151494,8.383988056149563e-4,53.99,3.31807297428174e-4,136.42,Multi-Segment,Midpoint,233,,0,0,0,0,0,0
2023-10-29,524530,EB,Green Line,Green Line - D,GL Kenmore-Riverside EB,EB Fenway Station,place-fenwy,Station,GDEB-25,Active Restriction,2023-03-11,,10 mph,Track,238.9999999999999,0.045265151515151494,8.383988056149563e-4,53.99,3.31807297428174e-4,136.42,Multi-Segment,Midpoint,232,,0,0,0,0,0,0
