,date,stop_id,am_rush,pm_rush,full_day
0,2023-01-01,place-alfcl,275,417,1440
1,2023-01-01,place-andrw,237,372,1158
2,2023-01-01,place-aport,728,1068,3341
3,2023-01-01,place-aqucl,79,757,1419
4,2023-01-01,place-armnl,86,714,1284
5,2023-01-01,place-asmnl,211,346,994
6,2023-01-01,place-astao,59,683,1229
7,2023-01-01,place-bbsta,144,1019,2141
8,2023-01-01,place-bmmnl,316,363,1129
9,2023-01-01,place-bomnl,29,140,312
10,2023-01-01,place-boyls,173,834,1844
11,2023-01-01,place-brdwy,164,394,1153
12,2023-01-01,place-brntn,60,198,408
13,2023-01-01,place-ccmnl,53,185,453
14,2023-01-01,place-chmnl,159,533,1278
15,2023-01-01,place-chncl,135,641,1592
16,2023-01-01,place-cntsq,189,1100,2202
17,2023-01-01,place-coecl,209,1972,3670
18,2023-01-01,place-crtst,24,271,498
19,2023-01-01,place-davis,215,394,1261
20,2023-01-01,place-dwnxg,300,1973,3728
21,2023-01-01,place-fldcr,285,267,994
22,2023-01-01,place-forhl,332,484,1633
23,2023-01-01,place-gover,117,1077,2035
24,2023-01-01,place-grnst,109,148,533
25,2023-01-01,place-haecl,330,1275,2801
26,2023-01-01,place-harsq,304,1499,3308
27,2023-01-01,place-hymnl,153,1217,2224
28,2023-01-01,place-jaksn,194,210,714
29,2023-01-01,place-jfk,216,295,925
30,2023-01-01,place-kencl,210,775,1780
31,2023-01-01,place-knncl,224,656,1473
32,2023-01-01,place-lech,89,628,1068
33,2023-01-01,place-masta,146,330,842
34,2023-01-01,place-mlmnl,429,464,1608
35,2023-01-01,place-mvbcl,869,1110,3560
36,2023-01-01,place-north,414,1470,3274
37,2023-01-01,place-nqncy,220,185,710
38,2023-01-01,place-ogmnl,225,182,817
39,2023-01-01,place-orhte,424,372,1477
40,2023-01-01,place-pktrm,216,2008,3763
41,2023-01-01,place-portr,169,488,1322
42,2023-01-01,place-prmnl,87,652,1269
43,2023-01-01,place-qamnl,93,114,421
44,2023-01-01,place-qnctr,311,354,1200
45,2023-01-01,place-rbmnl,387,292,1155
46,2023-01-01,place-rcmnl,99,243,644
47,2023-01-01,place-river,35,77,184
48,2023-01-01,place-rugg,220,296,1014
49,2023-01-01,place-sbmnl,135,257,682
50,2023-01-01,place-sdmnl,49,73,218
51,2023-01-01,place-shmnl,95,96,369
52,2023-01-01,place-smmnl,108,85,354
53,2023-01-01,place-spmnl,7,187,312
54,2023-01-01,place-sstat,429,1739,4001
55,2023-01-01,place-state,138,1141,2139
56,2023-01-01,place-sull,342,433,1318
57,2023-01-01,place-symcl,11,115,179
58,2023-01-01,place-tumnl,101,377,886
59,2023-01-01,place-welln,192,342,1045
60,2023-01-01,place-wimnl,170,240,702
61,2023-01-01,place-wlsta,194,145,611
62,2023-01-01,place-wondl,402,411,1484
63,2023-01-01,place-wtcst,47,130,331
64,2023-01-02,place-alfcl,631,496,2235
65,2023-01-02,place-andrw,443,514,1706
66,2023-01-02,place-aport,1044,1155,4060
67,2023-01-02,place-aqucl,71,457,943
68,2023-01-02,place-armnl,212,797,1908
69,2023-01-02,place-asmnl,565,488,2014
70,2023-01-02,place-astao,161,897,1885
71,2023-01-02,place-bbsta,288,1668,3348
72,2023-01-02,place-bmmnl,417,445,1474
73,2023-01-02,place-bomnl,44,236,534
74,2023-01-02,place-boyls,309,751,2047
75,2023-01-02,place-brdwy,321,496,1507
76,2023-01-02,place-brntn,361,196,1053
77,2023-01-02,place-ccmnl,123,245,718
78,2023-01-02,place-chmnl,237,775,1707
79,2023-01-02,place-chncl,166,796,1811
80,2023-01-02,place-cntsq,635,1558,3984
81,2023-01-02,place-coecl,452,2596,5330
82,2023-01-02,place-crtst,62,295,686
83,2023-01-02,place-davis,390,539,1768
84,2023-01-02,place-dwnxg,539,2669,5374
85,2023-01-02,place-fldcr,473,365,1468
86,2023-01-02,place-forhl,721,697,2614
87,2023-01-02,place-gover,260,967,2272
88,2023-01-02,place-grnst,173,211,674
89,2023-01-02,place-haecl,686,1344,3555
90,2023-01-02,place-harsq,610,1804,4317
91,2023-01-02,place-hymnl,174,1854,3183
92,2023-01-02,place-jaksn,277,373,1079
93,2023-01-02,place-jfk,352,393,1349
94,2023-01-02,place-kencl,280,4871,6256
95,2023-01-02,place-knncl,245,955,2097
96,2023-01-02,place-lech,92,283,720
97,2023-01-02,place-masta,235,507,1255
98,2023-01-02,place-mlmnl,935,599,2617
99,2023-01-02,place-mvbcl,1453,1456,4791
100,2023-01-02,place-north,1024,1582,4724
101,2023-01-02,place-nqncy,478,274,1255
102,2023-01-02,place-ogmnl,484,234,1354
103,2023-01-02,place-orhte,583,531,1916
104,2023-01-02,place-pktrm,441,2011,4472
105,2023-01-02,place-portr,390,626,1886
106,2023-01-02,place-prmnl,123,760,1425
107,2023-01-02,place-qamnl,307,164,830
108,2023-01-02,place-qnctr,574,404,1743
109,2023-01-02,place-rbmnl,553,386,1590
110,2023-01-02,place-rcmnl,167,296,827
111,2023-01-02,place-river,312,93,918
112,2023-01-02,place-rugg,393,618,1705
113,2023-01-02,place-sbmnl,206,272,829
114,2023-01-02,place-sdmnl,101,53,269
115,2023-01-02,place-shmnl,166,119,536
116,2023-01-02,place-smmnl,186,139,568
117,2023-01-02,place-spmnl,18,216,458
118,2023-01-02,place-sstat,685,1841,4663
119,2023-01-02,place-state,206,1390,2722
120,2023-01-02,place-sull,809,596,2474
121,2023-01-02,place-symcl,46,214,471
122,2023-01-02,place-tumnl,239,445,1238
123,2023-01-02,place-welln,475,432,1680
124,2023-01-02,place-wimnl,259,255,883
125,2023-01-02,place-wlsta,393,166,1011
126,2023-01-02,place-wondl,649,491,2066
127,2023-01-02,place-wtcst,59,163,412
128,2023-01-03,place-alfcl,2408,889,4047
129,2023-01-03,place-andrw,1156,734,2762
130,2023-01-03,place-aport,1599,1358,4893
131,2023-01-03,place-aqucl,104,639,1199
132,2023-01-03,place-armnl,290,1606,2657
133,2023-01-03,place-asmnl,1647,705,3519
134,2023-01-03,place-astao,450,724,1769
135,2023-01-03,place-bbsta,1119,3239,6042
136,2023-01-03,place-bmmnl,1060,428,2134
137,2023-01-03,place-bomnl,98,850,1358
138,2023-01-03,place-boyls,360,1164,2312
139,2023-01-03,place-brdwy,1042,1063,2770
140,2023-01-03,place-brntn,1098,271,1960
141,2023-01-03,place-ccmnl,361,544,1255
142,2023-01-03,place-chmnl,732,3057,4877
143,2023-01-03,place-chncl,321,998,2314
144,2023-01-03,place-cntsq,1962,2631,6466
145,2023-01-03,place-coecl,783,3197,5819
146,2023-01-03,place-crtst,127,962,1559
147,2023-01-03,place-davis,2058,694,3489
148,2023-01-03,place-dwnxg,860,5023,8270
149,2023-01-03,place-fldcr,941,432,2059
150,2023-01-03,place-forhl,2374,938,4667
151,2023-01-03,place-gover,433,2474,3891
152,2023-01-03,place-grnst,658,291,1266
153,2023-01-03,place-haecl,1405,1623,4621
154,2023-01-03,place-harsq,1774,2910,6892
155,2023-01-03,place-hymnl,471,1672,3190
156,2023-01-03,place-jaksn,709,460,1767
157,2023-01-03,place-jfk,930,911,2503
158,2023-01-03,place-kencl,540,1170,2597
159,2023-01-03,place-knncl,758,4591,6962
160,2023-01-03,place-lech,441,643,1458
161,2023-01-03,place-masta,488,922,2056
162,2023-01-03,place-mlmnl,2309,654,4120
163,2023-01-03,place-mvbcl,2485,1494,5752
164,2023-01-03,place-north,2413,2831,7085
165,2023-01-03,place-nqncy,1357,444,2395
166,2023-01-03,place-ogmnl,1857,239,2583
167,2023-01-03,place-orhte,1318,450,2635
168,2023-01-03,place-pktrm,692,3350,5697
169,2023-01-03,place-portr,1516,678,2942
170,2023-01-03,place-prmnl,243,941,1829
171,2023-01-03,place-qamnl,874,189,1387
172,2023-01-03,place-qnctr,1583,477,2986
173,2023-01-03,place-rbmnl,942,454,2108
174,2023-01-03,place-rcmnl,456,468,1330
175,2023-01-03,place-river,269,90,522
176,2023-01-03,place-rugg,746,1483,3181
177,2023-01-03,place-sbmnl,730,298,1355
178,2023-01-03,place-sdmnl,244,65,416
179,2023-01-03,place-shmnl,473,128,857
180,2023-01-03,place-smmnl,536,152,1032
181,2023-01-03,place-spmnl,40,345,530
182,2023-01-03,place-sstat,2801,4674,9685
183,2023-01-03,place-state,428,4089,6244
184,2023-01-03,place-sull,1397,950,3495
185,2023-01-03,place-symcl,177,203,594
186,2023-01-03,place-tumnl,441,1519,2943
187,2023-01-03,place-welln,1374,595,2660
188,2023-01-03,place-wimnl,490,307,1192
189,2023-01-03,place-wlsta,1173,201,1821
190,2023-01-03,place-wondl,1680,532,3193
191,2023-01-03,place-wtcst,130,405,783
192,2023-01-04,place-alfcl,2519,992,4356
193,2023-01-04,place-andrw,1369,960,3405
194,2023-01-04,place-aport,1825,1646,5537
195,2023-01-04,place-aqucl,133,1165,2013
196,2023-01-04,place-armnl,316,1719,2909
197,2023-01-04,place-asmnl,2024,902,4337
198,2023-01-04,place-astao,464,902,2079
199,2023-01-04,place-bbsta,1093,3431,6207
200,2023-01-04,place-bmmnl,1192,482,2443
201,2023-01-04,place-bomnl,88,893,1400
202,2023-01-04,place-boyls,393,1294,2637
203,2023-01-04,place-brdwy,1167,1188,3267
204,2023-01-04,place-brntn,1119,277,2043
205,2023-01-04,place-ccmnl,403,578,1518
206,2023-01-04,place-chmnl,826,3138,5177
207,2023-01-04,place-chncl,289,1133,2395
208,2023-01-04,place-cntsq,2187,2974,7256
209,2023-01-04,place-coecl,919,3550,6675
210,2023-01-04,place-crtst,129,928,1579
211,2023-01-04,place-davis,2164,804,3869
212,2023-01-04,place-dwnxg,862,5563,8902
213,2023-01-04,place-fldcr,1201,612,2648
214,2023-01-04,place-forhl,2854,1164,5562
215,2023-01-04,place-gover,498,2659,4259
216,2023-01-04,place-grnst,712,340,1476
217,2023-01-04,place-haecl,1465,1743,4922
218,2023-01-04,place-harsq,1960,3387,7774
219,2023-01-04,place-hymnl,517,1863,3543
220,2023-01-04,place-jaksn,1031,548,2200
221,2023-01-04,place-jfk,1099,1103,2979
222,2023-01-04,place-kencl,558,1388,2949
223,2023-01-04,place-knncl,752,4885,7347
224,2023-01-04,place-lech,524,1021,1804
225,2023-01-04,place-masta,567,1030,2340
226,2023-01-04,place-mlmnl,2535,758,4643
227,2023-01-04,place-mvbcl,3059,1968,7029
228,2023-01-04,place-north,2745,3171,7746
229,2023-01-04,place-nqncy,1459,491,2692
230,2023-01-04,place-ogmnl,2008,274,2855
231,2023-01-04,place-orhte,1516,615,3049
232,2023-01-04,place-pktrm,734,4146,7005
233,2023-01-04,place-portr,1843,773,3485
234,2023-01-04,place-prmnl,238,1036,1944
235,2023-01-04,place-qamnl,935,260,1572
236,2023-01-04,place-qnctr,1753,591,3394
237,2023-01-04,place-rbmnl,1004,519,2387
238,2023-01-04,place-rcmnl,460,789,2163
239,2023-01-04,place-river,282,117,571
240,2023-01-04,place-rugg,830,1754,3753
241,2023-01-04,place-sbmnl,838,373,1553
242,2023-01-04,place-sdmnl,276,78,514
243,2023-01-04,place-shmnl,591,190,1068
244,2023-01-04,place-smmnl,609,187,1180
245,2023-01-04,place-spmnl,44,283,428
246,2023-01-04,place-sstat,2861,5083,10286
247,2023-01-04,place-state,475,4486,6918
248,2023-01-04,place-sull,1472,1072,3840
249,2023-01-04,place-symcl,196,252,680
250,2023-01-04,place-tumnl,474,1740,3164
251,2023-01-04,place-welln,1448,648,2834
252,2023-01-04,place-wimnl,550,406,1415
253,2023-01-04,place-wlsta,1230,207,1897
254,2023-01-04,place-wondl,1800,533,3308
255,2023-01-04,place-wtcst,131,408,774
256,2023-01-05,place-alfcl,2653,996,4510
257,2023-01-05,place-andrw,1404,954,3445
258,2023-01-05,place-aport,1856,1572,5489
259,2023-01-05,place-aqucl,99,1078,1954
