,ID,Loc_GTFS_Stop_ID,Restriction_Status,Restriction_Reason,Track_Direction,Line,Branch,Track_Name,Location_Type,Restriction_Speed_MPH,Restriction_Distance_Feet,Line_Restricted_Track_Pct,Systemwide_Restricted_Track_Pct,SR_Restriction_Distance_Span,Restriction_Path,start_date,end_date,Restriction_Length_Days
394,524649,place-brmnl | place-lngmd,Restriction Opened,Track,EB,Green Line,Green Line - E,GL Copley-Heath St. EB,Between Stations,6 mph,109.99999999999945,0.00038587392727048014,0.00015271465572007936,Multi-Segment,End,2023-03-12,2023-12-05,268 days
395,524658,place-cedgr | place-unsqu,Restriction Opened,Track,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,Between Stations,25 mph,400.0,0.0015979239771688,0.0005553260208002915,Single Segment,Start|End,2023-03-12,2023-10-29,231 days
396,524659,place-butlr | place-cedgr,Restriction Opened,Track,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,Between Stations,20 mph,300.0,0.0011984429828766,0.0004164945156002186,Single Segment,Start|End,2023-03-12,2023-10-29,231 days
397,524660,place-butlr | place-cedgr,Restriction Opened,Track,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,Between Stations,10 mph,329.9999999999997,0.0013182872811643,0.0004581439671602401,Single Segment,Start|End,2023-03-12,2023-10-29,231 days
398,524664,place-cenav | place-miltt,Restriction Opened,Track,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,Between Stations,25 mph,300.0,0.0011984429828766,0.0004164945156002186,Single Segment,Start|End,2023-03-12,2023-10-29,231 days
399,524667,place-cedgr | place-butlr,Restriction Opened,Track,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,Between Stations,10 mph,365.1000000000004,0.0014585051101608,0.0005068738254854666,Single Segment,Start|End,2023-03-12,2023-10-29,231 days
400,524669,place-butlr | place-miltt,Restriction Opened,Track,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,Between Stations,20 mph,806.9000000000003,0.0032234121429438,0.0011202314154593,Single Segment,Start|End,2023-03-12,2023-10-29,231 days
401,524671,place-capst,Restriction Opened,Track,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,Station,25 mph,200.0,0.0007989619885844312,0.00027766301040014574,Multi-Segment,Start,2023-03-12,2023-10-29,231 days
402,524671,place-valrd | place-capst,Restriction Opened,Track,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,Between Stations,25 mph,120.99999999999936,0.0004833720030935783,0.0001679861212920873,Multi-Segment,End,2023-03-12,2023-10-29,231 days
403,524673,place-capst | place-matt,Restriction Opened,Track,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,Between Stations,20 mph,358.5000000000008,0.0014321393645375,0.0004977109461422624,Single Segment,Start|End,2023-03-12,2023-10-29,231 days
404,524747,place-clmnl | place-engav,Restriction Opened,Track,EB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. EB,Between Stations,3 mph,200.0,0.000701588958673604,0.00027766301040014574,Single Segment,Start|End,2023-03-12,2023-08-17,158 days
405,524750,place-smary | place-kencl,Restriction Opened,Track,EB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. EB,Between Stations,10 mph,110.00000000000014,0.0003858739272704827,0.00015271465572008034,Single Segment,Start|End,2023-03-12,2023-12-31,294 days
406,524753,place-cool | place-sumav,Restriction Opened,Track,WB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. WB,Between Stations,10 mph,300.0,0.0010523834380104,0.0004164945156002186,Single Segment,Start|End,2023-03-12,2023-04-05,24 days
407,525054,place-kencl | place-hymnl,Restriction Opened,Track,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,Between Stations,3 mph,300.0,0.0010523834380104,0.0004164945156002186,Single Segment,Start|End,2023-03-13,2023-05-23,71 days
408,525388,place-ccmnl,Restriction Opened,Track,SB,Orange Line,Orange Line,OL SB,Station,10 mph,300.0,0.0025207711543115,0.0004164945156002186,Single Segment,Start|End,2023-03-14,2023-05-22,69 days
409,525547,place-lake,Restriction Opened/Cleared,Track,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,Station,10 mph,280.00000000000114,0.0009822245421430495,0.0003887282145602056,Multi-Segment,Start,2023-03-15,2023-03-15,0 days
410,525547,place-lake | place-sougr,Restriction Opened/Cleared,Track,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,Between Stations,10 mph,319.99999999999886,0.0011225423338777,0.0004442608166402316,Multi-Segment,End,2023-03-15,2023-03-15,0 days
411,525551,place-chill,Restriction Opened/Cleared,Track,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,Station,6 mph,136.00000000000136,0.0004770804918980555,0.000188810847072101,Multi-Segment,End,2023-03-15,2023-03-15,0 days
412,525551,place-chswk | place-chill,Restriction Opened/Cleared,Track,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,Between Stations,6 mph,163.99999999999864,0.0005753029461123504,0.0002276836685281176,Multi-Segment,Start,2023-03-15,2023-03-15,0 days
413,525553,place-sthld | place-chswk,Restriction Opened/Cleared,Track,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,Between Stations,20 mph,200.0,0.000701588958673604,0.00027766301040014574,Single Segment,Start|End,2023-03-15,2023-03-15,0 days
414,525591,place-coecl | place-prmnl,Restriction Opened,Track,WB,Green Line,Green Line - E,GL Copley-Heath St. WB,Between Stations,10 mph,950.0,0.0033325475536996,0.0013188992994006,Single Segment,Start|End,2023-03-15,2023-12-31,291 days
415,525593,place-nuniv,Restriction Opened,Track,WB,Green Line,Green Line - E,GL Copley-Heath St. WB,Station,10 mph,71.00000000000009,0.0002490640803291297,9.857036869205184e-05,Multi-Segment,End,2023-03-15,2023-12-05,265 days
416,525593,place-symcl | place-nuniv,Restriction Opened,Track,WB,Green Line,Green Line - E,GL Copley-Heath St. WB,Between Stations,10 mph,128.99999999999991,0.00045252487834447424,0.0001790926417080939,Multi-Segment,Start,2023-03-15,2023-12-05,265 days
417,525594,place-nuniv | place-mfa,Restriction Opened,Track,WB,Green Line,Green Line - E,GL Copley-Heath St. WB,Between Stations,3 mph,300.0,0.0010523834380104,0.0004164945156002186,Single Segment,Start|End,2023-03-15,2023-05-31,77 days
418,525595,place-nuniv | place-symcl,Restriction Opened,Track,EB,Green Line,Green Line - E,GL Copley-Heath St. EB,Between Stations,3 mph,150.0,0.000526191719005203,0.0002082472578001093,Multi-Segment,Start,2023-03-15,2023-08-17,155 days
419,525595,place-symcl,Restriction Opened,Track,EB,Green Line,Green Line - E,GL Copley-Heath St. EB,Station,3 mph,250.0,0.0008769861983420048,0.00034707876300018215,Multi-Segment,End,2023-03-15,2023-08-17,155 days
420,525596,place-prmnl | place-river,Restriction Opened,Track,EB,Green Line,Green Line - E,GL Copley-Heath St. EB,Between Stations,3 mph,800.0,0.0028063558346944,0.0011106520416005,Single Segment,Start|End,2023-03-15,2023-05-31,77 days
421,525690,place-brico | place-harvd,Restriction Opened,Track,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,Between Stations,20 mph,300.0,0.0010523834380104,0.0004164945156002186,Single Segment,Start|End,2023-03-16,2023-08-17,154 days
422,525852,place-prmnl | place-symcl,Restriction Opened,Track,WB,Green Line,Green Line - E,GL Copley-Heath St. WB,Between Stations,20 mph,955.0,0.0033500872776664,0.0013258408746606,Multi-Segment,Start,2023-03-16,2023-12-05,264 days
423,525852,place-symcl,Restriction Opened,Track,WB,Green Line,Green Line - E,GL Copley-Heath St. WB,Station,20 mph,294.0000000000001,0.0010313357692501,0.0004081646252882144,Multi-Segment,Midpoint,2023-03-16,2023-12-05,264 days
424,525852,place-symcl | place-nuniv,Restriction Opened,Track,WB,Green Line,Green Line - E,GL Copley-Heath St. WB,Between Stations,20 mph,151.0,0.000529699663798571,0.00020963557285211005,Multi-Segment,End,2023-03-16,2023-12-05,264 days
425,525854,place-north | place-haecl,Restriction Opened,Track,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,Between Stations,6 mph,300.0,0.0010523834380104,0.0004164945156002186,Single Segment,Start|End,2023-03-16,2023-03-17,1 days
426,525856,place-fenwy | place-longw,Restriction Opened,Track,WB,Green Line,Green Line - D,GL Kenmore-Riverside WB,Between Stations,20 mph,230.00000000000009,0.0008068273024746447,0.0003193124619601677,Single Segment,Start|End,2023-03-16,2023-12-20,279 days
427,525911,place-shmnl | place-jfk,Restriction Opened,Track,NB,Red Line,Red Line - Ashmont,RL JFK-Ashmont NB,Between Stations,10 mph,600.0,0.0023968859657532,0.0008329890312004372,Single Segment,Start|End,2023-03-17,2023-05-17,61 days
428,526477,place-rbmnl,Restriction Opened,Track,WB,Blue Line,Blue Line,BL WB,Station,25 mph,100.0,0.0015175796425796,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-08-09,142 days
429,526479,place-rugg | place-masta,Restriction Opened,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,25 mph,100.0,0.0008402570514371758,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
430,526480,place-pktrm | place-chmnl,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Between Stations,25 mph,100.0,0.0003994809942922156,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-06-21,93 days
431,526482,place-brdwy | place-sstat,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Between Stations,25 mph,300.0,0.0011984429828766,0.0004164945156002186,Single Segment,Start|End,2023-03-20,2023-05-02,43 days
432,526484,place-masta | place-bbsta,Restriction Opened,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,10 mph,100.0,0.0008402570514371758,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-03-31,11 days
433,526486,place-jfk,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Station,10 mph,224.0000000000009,0.0008948374272145665,0.00031098257164816447,Multi-Segment,End,2023-03-20,2023-12-31,286 days
434,526486,place-nqncy | place-jfk,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Between Stations,10 mph,175.9999999999991,0.0007030865499542958,0.000244343449152127,Multi-Segment,Start,2023-03-20,2023-12-31,286 days
435,526489,place-wlsta | place-nqncy,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Between Stations,25 mph,100.0,0.0003994809942922156,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
436,526491,place-astao | place-welln,Restriction Opened,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,25 mph,700.0,0.0058817993600602,0.00097182053640051,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
437,526492,place-qamnl | place-qnctr,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Between Stations,25 mph,100.0,0.0003994809942922156,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
438,526495,place-welln | place-mlmnl,Restriction Opened,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,25 mph,100.0,0.0008402570514371758,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-05-04,45 days
439,526496,place-brntn | place-qamnl,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Between Stations,25 mph,200.0,0.0007989619885844312,0.00027766301040014574,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
440,526499,place-welln | place-mlmnl,Restriction Opened,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,25 mph,100.0,0.0008402570514371758,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-05-04,45 days
441,526501,place-harsq | place-cntsq,Restriction Opened,Track,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,Between Stations,25 mph,200.0,0.0007989619885844312,0.00027766301040014574,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
442,526502,place-mlmnl | place-ogmnl,Restriction Opened,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,25 mph,200.0,0.0016805141028743,0.00027766301040014574,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
443,526504,place-harsq | place-cntsq,Restriction Opened,Track,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,Between Stations,25 mph,100.0,0.0003994809942922156,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
444,526507,place-harsq | place-cntsq,Restriction Opened,Track,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,Between Stations,25 mph,100.0,0.0003994809942922156,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
445,526508,place-grnst | place-forhl,Restriction Opened,Track,SB,Orange Line,Orange Line,OL SB,Between Stations,25 mph,200.0,0.0016805141028743,0.00027766301040014574,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
446,526510,place-chmnl | place-pktrm,Restriction Opened,Track,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,Between Stations,25 mph,400.0,0.0015979239771688,0.0005553260208002915,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
447,526513,place-brdwy | place-andrw,Restriction Opened,Track,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,Between Stations,25 mph,100.0,0.0003994809942922156,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
448,526515,place-astao | place-sull,Restriction Opened,Track,SB,Orange Line,Orange Line,OL SB,Between Stations,25 mph,200.0,0.0016805141028743,0.00027766301040014574,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
449,526517,place-mlmnl | place-welln,Restriction Opened,Track,SB,Orange Line,Orange Line,OL SB,Between Stations,25 mph,100.0,0.0008402570514371758,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
450,526518,place-jfk | place-nqncy,Restriction Opened,Track,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,Between Stations,25 mph,100.0,0.0003994809942922156,0.00013883150520007287,Single Segment,Start|End,2023-03-20,2023-09-27,191 days
451,526522,place-ogmnl | place-mlmnl,Restriction Opened,Track,SB,Orange Line,Orange Line,OL SB,Between Stations,25 mph,700.0,0.0058817993600602,0.00097182053640051,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
452,526523,place-ogmnl | place-mlmnl,Restriction Opened,Track,SB,Orange Line,Orange Line,OL SB,Between Stations,25 mph,700.0,0.0058817993600602,0.00097182053640051,Single Segment,Start|End,2023-03-20,2023-12-31,286 days
453,526596,place-wlsta | place-qnctr,Restriction Opened,Multiple,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,Between Stations,10 mph,300.0,0.0011984429828766,0.0004164945156002186,Single Segment,Start|End,2023-03-21,2023-09-11,174 days
454,526742,place-butlr,Restriction Opened,Track,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,Station,10 mph,100.99999999999976,0.0004034758042351368,0.0001402198202520733,Multi-Segment,End,2023-03-21,2023-10-29,222 days
455,526742,place-miltt | place-butlr,Restriction Opened,Track,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,Between Stations,10 mph,249.0000000000002,0.0009947076757876175,0.0003456904479481817,Multi-Segment,Start,2023-03-21,2023-10-29,222 days
456,526744,place-coecl | place-hymnl,Restriction Opened,Track,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,Between Stations,10 mph,298.99999999999983,0.001048875493217,0.0004151062005482177,Multi-Segment,Start,2023-03-21,2023-06-06,77 days
457,526744,place-hymnl,Restriction Opened,Track,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,Station,10 mph,401.0000000000002,0.0014066858621405,0.0005567143358522925,Multi-Segment,End,2023-03-21,2023-06-06,77 days
458,526746,place-coecl | place-hymnl,Restriction Opened,Track,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,Between Stations,6 mph,100.0,0.000350794479336802,0.00013883150520007287,Single Segment,Start|End,2023-03-21,2023-12-31,285 days
459,526761,place-brdwy | place-sstat,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Between Stations,10 mph,1700.0,0.0067911769029676,0.0023601355884012,Single Segment,Start|End,2023-03-22,2023-05-02,41 days
460,526764,place-wlsta | place-qnctr,Restriction Opened,Track,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,Between Stations,10 mph,500.0,0.001997404971461,0.0006941575260003644,Single Segment,Start|End,2023-03-22,2023-09-27,189 days
461,527107,place-nqncy | place-jfk,Restriction Opened,Track,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,Between Stations,10 mph,600.0,0.0023968859657532,0.0008329890312004372,Single Segment,Start|End,2023-03-23,2023-04-28,36 days
462,528407,place-bomnl | place-gover,Restriction Opened,Track,EB,Blue Line,Blue Line,BL EB,Between Stations,10 mph,298.9999999999995,0.0045375631313131,0.00041510620054821713,Multi-Segment,Start,2023-03-28,2023-05-15,48 days
463,528407,place-gover,Restriction Opened,Track,EB,Blue Line,Blue Line,BL EB,Station,10 mph,401.0000000000005,0.0060854943667443,0.000556714335852293,Multi-Segment,Midpoint,2023-03-28,2023-05-15,48 days
464,528407,place-gover | place-state,Restriction Opened,Track,EB,Blue Line,Blue Line,BL EB,Between Stations,10 mph,598.9999999999995,0.009090302059052,0.000831600716148436,Multi-Segment,Midpoint,2023-03-28,2023-04-30,33 days
465,528407,place-state,Restriction Opened,Track,EB,Blue Line,Blue Line,BL EB,Station,10 mph,301.00000000000045,0.0045679147241647,0.00041788283065222,Multi-Segment,End,2023-03-28,2023-04-30,33 days
466,528412,place-aqucl,Restriction Opened,Track,EB,Blue Line,Blue Line,BL EB,Station,10 mph,400.0,0.0060703185703185,0.0005553260208002915,Multi-Segment,Start,2023-03-28,2023-04-27,30 days
